,Depth,time,DTCO,Vp,Vs,RHOB,Ip,PHIT,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups MA,PHIT_MA,Rc,Rc_bks,Rc_MA
0,3035.7,3128,113.74565,2679.7124915855,1380.5991801015,2.23675,6010.9242332635,0.24155,2752.87103012206,1267.31922495901,2.14828938115331,5913.96367135834,2748.85612506427,1274.72388133683,2.14828938115331,5911.21227720579,0.257544655414909,-0.001957692623144,0.000260495434594,0.000290051878447
1,3041,3132,112.37445,2712.3605453457,1230.2105438155,2.2617,6125.68521908005,0.23425,2754.08089259388,1302.80024627676,2.18000808720113,6003.918439661,2753.90443480928,1325.68505461911,2.18000808720113,6010.92047274484,0.24870235583685,-0.000383885414546,7.81893362857696E-05,7.73925121695784E-05
2,3046.5,3136,112.30435,2714.05618262345,1276.4569973491,2.2011,5937.24248572035,0.23895,2762.51290171778,1318.43351899872,2.22004166666667,6132.8939098214,2767.03843705764,1344.31832588501,2.22004166666667,6152.41404264545,0.235662798874824,0.001113295051005,0.000303775482417,0.000331094276009
3,3052.1,3140,108.0843,2820.0210391334,1569.5773881985,2.2373,6214.4243075074,0.2351,2788.36049059975,1364.17908078744,2.23168987341772,6224.07799321642,2795.78542007711,1397.63280178749,2.23168987341772,6250.69580560934,0.229988748241913,-0.001813929105761,-3.57816427935075E-05,-3.63476822618718E-05
4,3057.5,3144,111.1524,2742.18130775,1238.2366005719,2.285,6286.83615650635,0.2154,2787.88351815593,1378.79217160542,2.21198470464135,6162.96253714034,2796.80451045809,1411.09635855794,2.21198470464135,6194.22309558956,0.235514416315049,0.001407164176805,-0.00010026831333,-8.77997257011165E-05
5,3063.5,3148,105.3989,2891.87361448365,1564.954397359,2.2078,6397.3486348198,0.2355,2754.6696623933,1354.71843536824,2.21885882559775,6111.72234893717,2767.43154565149,1392.69436049064,2.21885882559775,6150.58663523166,0.235696554149086,-0.000833531392542,-0.000102436806555,-8.27298817313819E-05
6,3069,3152,113.43685,2686.95783483885,1320.92481713035,2.14965,5839.9886688233,0.2595,2719.6809373775,1305.02677478833,2.21310284810127,6019.57566789408,2731.63578965191,1332.25638543208,2.21310284810127,6062.50643713409,0.237714135021097,-0.000166597723099,-0.00011123624662,-0.000107162434892
7,3074.3,3156,119.22545,2556.5012764886,1238.27900075115,2.2347,5672.35001717535,0.2425,2708.20643034958,1330.80117951223,2.19430098452883,5942.84902706332,2722.5853581775,1357.79348253939,2.19430098452883,5985.40932530887,0.239670358649789,9.81098017157208E-05,-0.000229879126783,-0.000290907455373
8,3079.4,3160,118.2827,2576.9085710137,1254.573449028,2.19275,5667.11241367305,0.23645,2675.89722873501,1310.46915976796,2.1851932137834,5857.26366545515,2682.3845865638,1326.72557115669,2.1851932137834,5881.58064433348,0.241153129395218,2.35280437004907E-05,-8.23652252044833E-06,-1.05985092744217E-05
9,3084.8,3164,110.917,2748.0007573231,1494.2231216321,2.2041,5957.4122991849,0.2253,2665.49286896751,1294.65537472321,2.20030133614627,5866.84195004698,2671.80989017978,1310.25060084598,2.20030133614627,5891.09819574197,0.237330872011252,0.001487096270013,-2.32721791992881E-05,-2.29584550183321E-05
10,3090.3,3168,110.3876,2761.1796977197,1426.2411526724,2.1649,6022.0183486239,0.2287,2672.31780052571,1317.46234511579,2.18535443037975,5840.12407491618,2678.6389240479,1332.79140755069,2.18535443037975,5865.47978162419,0.238217651195499,2.28419288743353E-05,8.64510570216091E-06,6.0354025102776E-06
11,3095.7,3172,114.6256,2659.091860806,1232.6312430771,2.2417,5917.4868438031,0.2438,2694.88243085233,1375.49290407438,2.17722362869198,5868.52626565523,2700.45988061684,1384.9622612681,2.17722362869198,5888.26395151784,0.237482770745429,-0.000473326739701,-2.70690727543222E-05,-4.04652183489498E-05
12,3099.6,3176,114.2998,2666.6713327582,1354.6985773443,2.1468,5726.4556384139,0.2504,2707.14894921184,1392.12630554697,2.17858755274262,5896.04498177584,2708.74332244859,1399.50920351832,2.17858755274262,5909.31717975954,0.239286919831224,-0.002367175386256,0.000121085743948,0.000130877679438
13,3104.8,3180,114.7584,2656.0147231052,1415.5602957629,2.1539,5726.6108839434,0.2391,2718.81878712548,1378.88624539417,2.18362974683544,5930.79822518559,2719.83130629411,1386.96809800447,2.18362974683544,5942.64109641701,0.241565752461322,0.002136194902216,3.93677339494198E-05,4.18770192510169E-05
14,3110.3,3184,109.7984,2775.997242328,1498.87886748795,2.18,6054.3115542961,0.2439,2743.65020962888,1419.21329444946,2.17372011251758,5961.09669780524,2745.39123497467,1426.18801781946,2.17372011251758,5974.84721648127,0.242735759493671,0.001642480616782,0.000134003028051,0.00011970787198
15,3115.9,3188,109.2123,2790.8949338261,1366.0771847489,2.22295,6121.09536174535,0.23905,2798.04142801242,1475.77268357889,2.17937482419128,6097.9810689231,2803.26721963664,1483.64753884432,2.17937482419128,6120.26017893041,0.238552566807314,-0.00022720349284,0.000200236184333,0.000194825046045
16,3121.5,3192,107.1531,2844.5280631172,1524.038862991,2.1724,6165.0601907546,0.239,2823.39715062177,1492.06863040042,2.18755203938115,6179.47523646046,2824.27884978495,1498.905416168,2.18755203938115,6190.03446171805,0.236821026722925,0.000448818938833,1.31392649695832E-05,1.30329791978383E-05
