DEPTH,BS,BVW,CALIPER,DTCO,DTSM,GR,NPHI,PEF,RHOB,RT,PHIT,PHIE,KTIMUR,VCL,SW,VFeldes,VLIME,VPlagioclasa,VPirita,VSAND,VTOBA,Vp,Vs,Ip,Is,Poisson,K,MU,LAMBDA,Facies,PetroClasses,VSh_AAA,eF_AAA
3299.9,12.25,0.1078,11.4836,86.2422,142.9896,30.2768,0.2922,5.0975,2.3418,2.6335,0.192,0.1315,2.0566,0.2285,0.5931,0.0079,0.1381,0,0,0.502,0,3534.2326610407,2131.6235586364,8276.466045625,4991.8360496148,0.2141166749,15.0633361842,10.6407153242,7.969525968,2,2,0.034949724,2
3300,12.25,0.1118,11.5709,87.1383,146.5306,30.9405,0.3283,4.9774,2.2971,2.4068,0.2099,0.1449,2.8347,0.2454,0.5525,0.0078,0.1358,0,0,0.474,0,3497.8878403641,2080.1115944383,8034.9981581004,4778.2243435842,0.2264371547,14.853202544,9.9392398579,8.2270426387,2,2,0.037657247,2
3300.1,12.25,0.116,11.6553,87.6553,149.7889,32.1241,0.3532,4.8126,2.264,2.2167,0.222,0.1545,3.4527,0.2552,0.5373,0.0127,0.1326,0,0,0.4579,0,3477.2569371162,2034.8637315582,7872.509705631,4606.9314882478,0.2396016174,14.8754352541,9.3744777992,8.625783388,2,2,0.042640841,2
3300.2,12.25,0.1181,11.7574,87.6732,152.7507,35.4857,0.3688,4.6852,2.2436,2.1239,0.2293,0.1601,3.7977,0.2613,0.542,0.0244,0.129,0.0097,0,0.4394,0,3476.5469949768,1995.4082043487,7799.98083793,4476.8978472766,0.2543621869,15.206015017,8.9332386945,9.250522554,2,2,0.057946186,2
3300.3,12.25,0.1187,11.7929,87.6034,154.9709,39.5028,0.3728,4.5868,2.2342,2.1131,0.2317,0.1632,3.9575,0.259,0.5636,0.0421,0.1256,0,0,0.4526,0,3479.31701281,1966.8208676597,7773.4900700201,4394.2711825252,0.265189934,15.5227772363,8.6427442599,9.7609477296,3,1,0.07870019,2
3300.4,12.25,0.1191,11.8285,87.4394,156.8873,44.2082,0.3687,4.4743,2.2296,2.1302,0.2315,0.1657,4.1053,0.2484,0.6061,0.0636,0.122,0.063,0,0.387,0,3485.8427665332,1942.79587959,7772.0350322624,4331.6576931339,0.2747035778,15.8713898078,8.415526718,10.2610386624,3,1,0.106928241,2
3300.5,12.25,0.1201,11.8329,87.225,158.4522,49.1294,0.3624,4.2995,2.229,2.1307,0.23,0.1672,4.1258,0.2374,0.6395,0.0866,0.1147,0.1266,0,0.3139,0,3494.4110060189,1923.6085078024,7789.0421324162,4287.7233638915,0.282609163,16.2209130313,8.2479011419,10.7223122701,2,1,0.141736373,3
3300.6,12.25,0.1212,11.8299,87.0128,159.1999,53.0781,0.3598,4.0691,2.2283,2.1101,0.2295,0.168,4.0452,0.2322,0.6734,0.1046,0.1041,0.1743,0,0.2542,0,3502.9329018259,1914.5740669435,7805.5853851387,4266.2453933702,0.2870065507,16.4517181391,8.1680427934,11.0063562769,3,1,0.174225946,3
3300.7,12.25,0.122,11.7855,86.8082,159.5178,55.7781,0.3615,3.8342,2.2251,2.0818,0.2305,0.169,3.9394,0.2321,0.6877,0.1173,0.0919,0.1319,0,0.2947,0,3511.1890351372,1910.7585485758,7812.7467220839,4251.628846436,0.289627244,16.6002490733,8.1238361637,11.1843582975,3,1,0.19910577,4
3300.8,12.25,0.1227,11.7174,86.855,159.2852,56.303,0.3657,3.6629,2.2232,2.045,0.2318,0.1691,3.73,0.237,0.6473,0.1239,0.0824,0.1267,0,0.2849,0,3509.2971043694,1913.548779171,7801.8693224339,4254.2016458529,0.2884283758,16.5249142675,8.1406223658,11.0978326903,3,1,0.204215029,4
3300.9,12.25,0.1238,11.6893,87.0944,159.0141,56.6504,0.371,3.5978,2.2238,1.9849,0.233,0.168,3.4732,0.2457,0.6296,0.1268,0.077,0.1222,0,0.2665,0,3499.6509534482,1916.8111507093,7782.5237902781,4262.6046369473,0.285722788,16.3419726707,8.1706080992,10.8949006045,4,1,0.207647327,4
3301,12.25,0.1245,11.6494,87.6126,158.9003,57.0325,0.3798,3.6313,2.2305,1.9072,0.234,0.164,3.063,0.2644,0.6139,0.1258,0.0762,0.1388,0,0.2292,0,3478.9516576383,1918.1839178403,7759.8016723622,4278.5092287428,0.2816018839,16.0533514311,8.2069675949,10.5820397012,4,1,0.211469846,4
3301.1,12.25,0.1257,11.6242,88.3137,159.0974,58.2387,0.3868,3.7187,2.2406,1.8201,0.2339,0.159,2.6879,0.283,0.6013,0.1244,0.0781,0.1587,0,0.1922,0,3451.333145367,1915.8075493377,7733.0570455094,4292.5583950461,0.2773238394,15.7244017239,8.2237157792,10.2419245378,4,1,0.223869609,4
3301.2,12.25,0.1298,11.6375,89.0871,159.5586,59.2595,0.3858,3.8079,2.2483,1.6939,0.2324,0.1562,2.5925,0.288,0.6177,0.1303,0.0812,0.1533,0,0.1919,0,3421.3707708524,1910.2699572446,7692.2679041073,4294.8599448729,0.2735328685,15.3789780043,8.2043419233,9.9094167222,4,1,0.234770509,4
3301.3,12.25,0.1384,11.6553,89.9418,160.0796,59.6871,0.3771,3.8516,2.246,1.5286,0.2308,0.1584,2.9916,0.2733,0.6653,0.1371,0.0846,0.1628,0,0.1972,0,3388.8581282563,1904.052733765,7611.3753560636,4276.5024400361,0.2693444909,14.9369563601,8.1426861619,9.5084989188,4,1,0.239451052,4
3301.4,12.25,0.1484,11.6346,90.7615,160.605,57.8756,0.3677,3.8608,2.2344,1.3803,0.2304,0.1643,3.9163,0.25,0.7146,0.1353,0.0875,0.1741,0,0.2019,0,3358.2521223206,1897.8238535538,7503.6785421131,4240.4976183805,0.2653935537,14.4689543478,8.0477175311,9.1038093271,4,1,0.220082981,4
3301.5,12.25,0.1565,11.6049,91.5302,161.0385,55.3018,0.3613,3.8593,2.219,1.2844,0.2315,0.1712,5.2745,0.2279,0.7502,0.1311,0.09,0.1842,0,0.2049,0,3330.0484430276,1892.7150960795,7389.3774950781,4199.9347982004,0.2613933017,14.007945029,7.9492799951,8.7084250322,3,1,0.194548271,4
3301.6,12.25,0.162,11.5694,92.1863,161.447,52.0846,0.3563,3.8826,2.2037,1.234,0.233,0.1779,6.9854,0.2083,0.7814,0.1225,0.0938,0.1942,0,0.2098,0,3306.3481233112,1887.926068617,7286.1993593408,4160.4226774112,0.2581146173,13.6179510056,7.8545704291,8.3815707195,3,1,0.165633985,3
3301.7,12.25,0.1661,11.5235,92.7132,161.8616,49.4473,0.3511,3.9462,2.1939,1.2005,0.2335,0.1824,8.6781,0.1927,0.8083,0.1141,0.0988,0.2012,0,0.2157,0,3287.5577587658,1883.0902449994,7212.5729669562,4131.3116885043,0.2558506347,13.3389065653,7.7796327397,8.1524847388,2,1,0.144192736,3
3301.8,12.25,0.1701,11.4969,93.1539,162.3871,47.3391,0.3473,4.0183,2.1882,1.1615,0.2336,0.1853,10.1583,0.1827,0.8333,0.1096,0.1028,0.202,0,0.217,0,3272.0047147785,1876.9963870283,7159.8007168782,4107.2434940953,0.2547567331,13.1478601037,7.7092811991,8.0083393044,2,1,0.128390739,2
3301.9,12.25,0.1731,11.4984,93.4466,163.0388,46.3168,0.3474,4.0761,2.1859,1.1244,0.2341,0.1861,11.1307,0.1811,0.8419,0.1068,0.1054,0.1991,0,0.2172,0,3261.7559119326,1869.4936420042,7129.8722478935,4086.5261520571,0.2553902304,13.069590077,7.6397346592,7.9764336376,2,1,0.121128654,2
3302,12.25,0.1732,11.491,93.7275,164.0264,46.0461,0.35,4.0847,2.1874,1.1145,0.2344,0.1851,11.414,0.1863,0.8333,0.1028,0.1054,0.1976,0,0.2166,0,3251.9804753141,1858.2374544586,7113.382091702,4064.7086078826,0.2575901314,13.0616546402,7.5531937766,8.0261921224,2,1,0.119247823,2
3302.1,12.25,0.1698,11.5235,94.0084,165.673,46.2694,0.3554,4.0625,2.1921,1.1406,0.2349,0.1825,10.9218,0.1982,0.8007,0.1032,0.1029,0.1916,0,0.2116,0,3242.2634573081,1839.7687009953,7107.365724765,4032.9569694519,0.2625578579,13.1510081607,7.4197080049,8.2045361574,2,1,0.120798059,2
3302.2,12.25,0.1658,11.5709,94.3129,167.7085,47.3232,0.3602,4.0336,2.1956,1.1794,0.2355,0.1804,10.2539,0.208,0.7458,0.1079,0.1002,0.1845,0,0.206,0,3231.7954383759,1817.4391876381,7095.7300644981,3990.3694803782,0.2687373944,13.262276232,7.2522538668,8.4274403208,2,1,0.128275836,2
3302.3,12.25,0.1632,11.5768,94.5763,170.1518,48.2078,0.3665,4.0047,2.1977,1.1993,0.2366,0.1786,9.4718,0.219,0.7005,0.1074,0.0983,0.1812,0,0.2048,0,3222.7947170697,1791.3416137825,7082.7359497041,3936.8314646098,0.2764608621,13.4232572958,7.052210029,8.7217839431,2,1,0.134764388,2
3302.4,12.25,0.1642,11.6109,94.7904,171.9507,48.9061,0.3656,3.9869,2.1971,1.1883,0.2364,0.179,9.1673,0.217,0.6801,0.1114,0.0977,0.1822,0,0.2054,0,3215.51549524,1772.6011001991,7064.8090945919,3894.5818772474,0.2817195347,13.512282954,6.9035401204,8.9099228737,2,1,0.140026866,2
3302.5,12.25,0.1681,11.6123,94.8175,173.2779,49.0168,0.3617,3.9571,2.193,1.1483,0.2362,0.1812,9.3001,0.2079,0.6758,0.1145,0.097,0.1865,0,0.2047,0,3214.5964616237,1759.0240878958,7049.6100403407,3857.5398247555,0.2862987194,13.6143108625,6.7855054718,9.090640548,2,1,0.140872715,3
3302.6,12.25,0.1735,11.6079,94.6796,173.8296,49.1034,0.3529,3.9145,2.1909,1.1,0.2345,0.1834,9.4793,0.1932,0.689,0.1182,0.0965,0.1976,0,0.2086,0,3219.2784929383,1753.4413011363,7053.1172501785,3841.6145466595,0.289101863,13.7245545261,6.7360456092,9.2338574534,2,1,0.141536654,3
3302.7,12.25,0.1758,11.6168,94.3992,174.4753,49.1323,0.3512,3.8873,2.1896,1.0776,0.2343,0.1841,9.4203,0.1897,0.691,0.1147,0.0969,0.2054,0,0.2173,0,3228.8409223807,1746.9521473813,7069.8700836448,3825.1264219061,0.2930553978,13.9177354196,6.6823128168,9.4628602085,2,1,0.141758661,3
3302.8,12.25,0.1738,11.5827,93.7232,175.2006,48.7876,0.3532,3.9316,2.1908,1.0959,0.2346,0.1834,9.1181,0.1936,0.6916,0.1078,0.1,0.2063,0,0.2268,0,3252.1296754699,1739.7200694518,7124.7656930195,3811.378728155,0.2995538036,14.3296858535,6.6307320657,9.9091978097,2,1,0.139124959,2
3302.9,12.25,0.1688,11.5428,93.0269,176.1173,48.2138,0.3575,4.111,2.1979,1.142,0.2343,0.1799,8.316,0.2057,0.692,0.0991,0.1082,0.1999,0,0.2364,0,3276.4716442233,1730.6647331069,7201.3570268385,3803.8280168956,0.3065132512,14.8175074322,6.5831509996,10.4287400991,2,1,0.134809071,2
3303,12.25,0.1642,11.5665,92.3154,176.8339,47.5065,0.3529,4.4366,2.2086,1.2026,0.2312,0.1763,7.539,0.2076,0.7122,0.0915,0.1228,0.1904,0,0.2505,0,3301.7243060205,1723.6514039446,7292.1883022768,3806.8564907521,0.3126846878,15.3278706485,6.5616935349,10.9534082919,2,1,0.12960427,2
3303.1,12.25,0.1597,11.5635,91.635,177.3676,47.3511,0.3434,4.8611,2.2222,1.2734,0.2264,0.1723,6.6858,0.2047,0.7409,0.0892,0.1411,0.1757,0,0.2654,0,3326.2399738091,1718.4649282056,7391.5704697987,3818.7727634585,0.3179501605,15.8362344155,6.5624270628,11.4612830403,2,1,0.1284775,2
3303.2,12.25,0.1564,11.5724,90.8347,177.0599,47.5675,0.3307,5.283,2.2368,1.3398,0.2205,0.1682,5.8705,0.1975,0.7752,0.0907,0.1587,0.1605,0,0.2802,0,3355.5458431635,1721.4513280534,7505.684941988,3850.5423305898,0.3214024871,16.3476416289,6.6285212087,11.9286274897,2,1,0.130048207,2
3303.3,12.25,0.1546,11.599,89.9184,176.1983,48.1066,0.3213,5.6011,2.2482,1.38,0.2159,0.165,5.2744,0.1925,0.8065,0.0959,0.1709,0.1462,0,0.2834,0,3389.7400309614,1729.8691304059,7620.8135376074,3889.0917789786,0.3239299924,16.8624169652,6.7276198138,12.3773370894,2,1,0.134012103,2
3303.4,12.25,0.1543,11.6094,88.8008,174.7463,48.0624,0.3146,5.7918,2.2557,1.3909,0.2127,0.1628,4.9033,0.1886,0.8352,0.1012,0.1773,0.1321,0,0.2815,0,3432.4015098963,1744.2429396216,7742.4680858731,3934.4887989045,0.3259306223,17.4249867369,6.8627043085,12.8498505313,2,1,0.133684352,2
