DEPTH,BS,BVW,CALIPER,DTCO,DTSM,GR,NPHI,RHOB,RT16_Rxo,RTD90_Rt,RTM30,RTM60,RTS20,HCGR,PHIT,PHIE,KTIMUR,VCL,SW,SW_PEMEX,TEMP,GAS_TOTAL,VALBITE,VLIME5,VORTHO,VPYRITE,VSAND,Facies,VSh_AAA,eF_AAA,Vp,Vs,VpVsratio,Ip,Is,Poisson,K,MU,LAMBDA,K_menos_MU,K_RHO,MU_RHO,LAMBDA_RHO,K_RHO_MU_RHO
3087.85,12.25,0.0351,13.2197,109.1774,189.0289,77.1244,0.1851,2.1997,11.6953,12.0078,12.6495,11.7373,12.4644,59.2135,0.1895,0.1639,10.1895,0.1025,0.1858,0.2144,47.3249,4976,0.1406,0.1528,0.1243,0,0.3159,2,0.502358436,5,2791.786579,1612.451853,1.731392211,6141.092937,3546.91034,0.249714548,9.518991307,5.719222149,5.706176541,3.799769158,20.93892518,12.58057296,12.55187654,8.358352216
3088,12.25,0.0368,13.2286,109.5361,188.9589,77.4916,0.1856,2.2119,10.7148,12.7039,12.7079,12.2603,12.5987,60.1095,0.188,0.1672,10.6591,0.0835,0.1927,0.2202,47.3304,4879.5601,0.1364,0.1614,0.1316,0.002,0.3179,4,0.509754828,5,2782.644261,1613.049187,1.725083329,6154.93084,3567.903496,0.246952356,9.453377865,5.755203834,5.616575309,3.698174031,20.9099265,12.72993536,12.42330293,8.17999114
3088.15,12.25,0.0418,13.2207,108.7898,189.4281,77.7252,0.1901,2.2196,9.8406,11.5062,11.4337,11.1011,11.3719,59.9099,0.1872,0.1697,10.7461,0.0698,0.2158,0.246,47.3359,4550,0.1399,0.1544,0.1336,0.0072,0.3255,4,0.514508723,5,2801.733251,1609.053778,1.741230336,6218.727123,3571.455766,0.253922849,9.760995367,5.746664394,5.929885771,4.014330973,21.66550532,12.75529629,13.16197446,8.910209027
3088.3,12.25,0.0449,13.2235,109.052,189.4843,77.1968,0.2046,2.2163,8.6363,10.1425,10.0445,9.7949,10.0272,59.6123,0.1921,0.1739,11.1759,0.0731,0.2309,0.258,47.3415,4550,0.1447,0.1398,0.1324,0.012,0.3241,2,0.503809424,5,2794.996882,1608.576542,1.737559146,6194.55159,3565.088189,0.252366361,9.66746274,5.73471723,5.84431792,3.93274551,21.42599767,12.7098538,12.95276181,8.716143873
3088.45,12.25,0.0474,13.2677,107.9541,189.6837,76.1917,0.2123,2.2127,7.3903,8.3879,8.2057,8.0659,8.2562,57.5493,0.2008,0.1779,12.7472,0.092,0.2482,0.2664,47.347,4550,0.1383,0.1348,0.1207,0.0129,0.3235,2,0.48398364,4,2823.422177,1606.885568,1.757077313,6247.38625,3555.555696,0.260458465,10.02118071,5.713371134,6.212266617,4.307809572,22.17386655,12.64197631,13.74588234,9.531890241
3088.6,12.25,0.0507,13.3038,110.1357,190.9599,75.7998,0.2084,2.2093,6.41,6.8669,6.7625,6.7041,6.828,55.337,0.2155,0.1869,16.4574,0.1141,0.2693,0.2712,47.3525,4550,0.1175,0.1324,0.1072,0.0096,0.3323,3,0.476436109,4,2767.495008,1596.146626,1.733860138,6114.226722,3526.36674,0.250781422,9.416294104,5.628598372,5.663895189,3.787695732,20.80341856,12.43526238,12.51324364,8.368156181
3088.75,12.25,0.0538,13.288,113.3866,196.202,76.0323,0.2036,2.1987,5.8394,6.1138,6.0405,6.0007,6.0581,55.1541,0.2253,0.1946,19.1254,0.1228,0.2832,0.2765,47.358,4550,0.1042,0.1279,0.1038,0.0044,0.3422,3,0.480901576,4,2688.148335,1553.500984,1.730380839,5910.431744,3415.682613,0.249275135,8.81309552,5.306266299,5.275584654,3.506829221,19.37735312,11.66688771,11.59942798,7.710465409
3088.9,12.25,0.0569,13.2706,113.9245,197.578,76.3688,0.2045,2.1853,5.5291,5.8276,5.6395,5.5508,5.6256,55.921,0.2278,0.199,20.604,0.1153,0.2919,0.2859,47.3636,4550,0.1039,0.1204,0.1063,0.0007,0.3544,2,0.4874277,4,2675.456113,1542.681878,1.734288937,5846.674245,3371.222707,0.250966017,8.708221451,5.200724175,5.241072001,3.507497276,19.03007634,11.36514254,11.45331464,7.664933798
3089.05,12.25,0.0621,13.2703,114.2721,198.3675,76.5606,0.2092,2.1772,5.2854,5.3809,5.2256,5.0725,5.2584,55.4657,0.2273,0.2019,20.951,0.1016,0.3115,0.3075,47.3691,4550,0.1086,0.1099,0.1072,0,0.3708,2,0.491181232,4,2667.317744,1536.542024,1.735922417,5807.284193,3345.359295,0.251667138,8.636158648,5.140285143,5.209301886,3.495873505,18.80264461,11.19142881,11.34169207,7.611215795
3089.2,12.25,0.0652,13.2703,114.2032,199.0973,76.7424,0.2145,2.1776,4.9955,4.9166,4.7407,4.6596,4.8499,56.7108,0.2268,0.2011,20.52,0.1029,0.329,0.3242,47.3746,4364.8452,0.1085,0.0986,0.1095,0,0.3795,2,0.494761862,4,2668.926965,1530.909761,1.743360081,5811.85536,3333.709096,0.254818355,8.706607093,5.103607796,5.304201895,3.602999297,18.9595076,11.11361634,11.55043005,7.845891268
3089.35,12.25,0.0663,13.2703,114.6297,200.7406,77.1297,0.2201,2.1822,4.6804,4.4249,4.3791,4.2852,4.5178,55.671,0.2301,0.1998,19.9745,0.1213,0.344,0.3318,47.3801,3755,0.102,0.0962,0.102,0,0.3788,2,0.502464533,5,2658.996752,1518.377448,1.751209329,5802.462713,3313.403268,0.258072412,8.720733775,5.030996799,5.366735909,3.689736977,19.03038524,10.97864121,11.7112911,8.05174403
3089.5,12.25,0.0608,13.2703,113.3806,198.9224,77.6846,0.2256,2.1847,4.4946,4.6306,4.6141,4.5103,4.6802,52.8431,0.2373,0.2006,21.1085,0.1469,0.3215,0.303,47.3856,3755,0.0926,0.1066,0.0869,0,0.3664,4,0.513679761,5,2688.290589,1532.255794,1.754465932,5873.108451,3347.519234,0.259401472,8.949614522,5.129255742,5.530110694,3.82035878,19.55222285,11.20588502,12.08163283,8.346337828
3089.65,12.25,0.0556,13.2703,113.7369,176.3581,77.9859,0.2258,2.1803,4.6256,4.9394,5.0004,4.8667,5.1357,51.0062,0.2455,0.2033,23.8054,0.1691,0.2926,0.2735,47.3912,3755,0.0869,0.111,0.0764,0,0.3533,4,0.51985915,5,2679.869066,1728.301677,1.550579451,5842.918525,3768.216147,0.14394987,6.974770898,6.512614286,2.63302804,0.462156612,15.20709299,14.19945293,5.740791037,1.007640061
3089.8,12.25,0.0501,13.2703,113.899,176.3544,77.6662,0.22,2.1714,4.964,5.4887,5.6071,5.4078,5.796,48.3839,0.2526,0.206,27.4717,0.1865,0.2556,0.2431,47.3967,3755,0.0854,0.105,0.0637,0,0.3534,4,0.513304452,5,2676.055101,1728.337938,1.548340196,5810.786047,3752.912998,0.142181726,6.901581097,6.486301911,2.577379823,0.415279186,14.98609319,14.08435597,5.596522547,0.901737224
3089.95,12.25,0.0446,13.2642,113.7416,199.4256,77.3698,0.2108,2.166,5.3601,6.1732,6.3432,6.0905,6.5523,47.3364,0.2568,0.2062,30.8986,0.2022,0.2191,0.2164,47.4022,3624.1924,0.084,0.0943,0.0571,0,0.3563,2,0.507291148,5,2679.758329,1528.389535,1.753321564,5804.356541,3310.491732,0.258935828,8.807978231,5.059720918,5.434830952,3.748257313,19.07808085,10.95935551,11.77184384,8.118725339
3090.1,12.25,0.0421,13.2395,113.7744,198.9631,77.3684,0.2064,2.1664,5.7628,6.6476,6.8636,6.5872,7.0902,47.0991,0.2557,0.2047,32.779,0.2042,0.2033,0.2056,47.4077,3202,0.0833,0.094,0.0641,0,0.3496,2,0.50726289,5,2678.985782,1531.942355,1.748751037,5803.754799,3318.799918,0.257061044,8.769229707,5.084210163,5.379756265,3.685019544,18.99765924,11.0144329,11.65470397,7.983226341
3090.25,12.25,0.0413,13.2121,113.6885,199.5244,76.5658,0.2069,2.1696,6.1095,6.7562,6.9859,6.6956,7.1992,47.9498,0.2505,0.1999,32.2246,0.2025,0.2024,0.2068,47.4133,3202,0.0865,0.1059,0.0775,0,0.3277,2,0.491283339,4,2681.009953,1527.632711,1.755009522,5816.719193,3314.351929,0.259622136,8.843865487,5.063112421,5.468457207,3.780753066,19.18765056,10.98492871,11.86436476,8.202721853
3090.4,12.25,0.0428,13.2037,114.1185,199.4926,74.495,0.2099,2.1715,6.3113,6.6031,6.7997,6.5178,6.9616,50.1595,0.2455,0.1973,29.875,0.1926,0.2144,0.2168,47.4188,3202,0.0898,0.1174,0.0978,0,0.3051,4,0.452023864,4,2670.907872,1527.876222,1.748117965,5799.876444,3317.783216,0.256799452,8.732052871,5.069162085,5.352611481,3.662890786,18.96165281,11.00768547,11.62319583,7.953967342
3090.55,12.25,0.0453,13.2036,114.6595,199.0396,72.5073,0.2147,2.1684,6.3192,6.3238,6.4642,6.2646,6.6256,50.5931,0.2432,0.1977,25.3623,0.1821,0.2288,0.2292,47.4243,3202,0.0929,0.1117,0.1104,0,0.3052,3,0.416866684,4,2658.305679,1531.35356,1.73591896,5764.270034,3320.587059,0.251665657,8.543201349,5.084992813,5.15320614,3.458208536,18.52507781,11.02629842,11.17421219,7.498779389
3090.7,12.25,0.046,13.2036,116.9293,199.4674,72.211,0.2191,2.1578,6.2094,6.2346,6.3158,6.1762,6.4687,49.4473,0.2479,0.2019,21.9463,0.1841,0.2265,0.2278,47.4298,3202,0.0933,0.0821,0.1125,0,0.3262,3,0.411827578,4,2606.703367,1528.069248,1.705880391,5624.744525,3297.267824,0.23822372,7.944102404,5.038453566,4.58513336,2.905648838,17.14178417,10.8719751,9.893800764,6.269809062
3090.85,12.25,0.045,13.2036,115.7498,201.6897,73.7779,0.2205,2.1425,6.1323,6.4598,6.4921,6.3831,6.6086,48.0047,0.2512,0.2048,21.0861,0.1858,0.2136,0.2198,47.4353,3202,0.0972,0.0443,0.1124,0,0.3555,4,0.439063866,4,2633.265889,1511.232353,1.742462622,5641.772167,3237.815317,0.254441658,8.332164519,4.893091262,5.070103677,3.439073257,17.85166248,10.48344803,10.86269713,7.368214453
3091,12.25,0.0459,13.2036,114.5691,204.6661,75.9413,0.2205,2.1335,6.1569,6.5884,6.6043,6.4999,6.6895,48.0713,0.2521,0.2081,20.8049,0.1759,0.2137,0.2204,47.4409,3024.062,0.0987,0.0244,0.1239,0,0.3689,3,0.479149572,4,2660.403198,1489.254938,1.786398776,5675.970222,3177.32541,0.271816675,8.791239257,4.731847555,5.63667422,4.059391702,18.75610895,10.09539676,12.02584445,8.660712196
3091.15,12.25,0.0489,13.2036,118.384,205.9445,77.324,0.2208,2.139,6.248,6.5814,6.5849,6.4546,6.7289,48.3385,0.2552,0.216,19.3525,0.1569,0.2277,0.2262,47.4464,2465,0.0876,0.0258,0.144,0.0001,0.3697,2,0.506367392,5,2574.672253,1480.010391,1.7396312,5507.223949,3165.742227,0.253246866,7.932188171,4.685331391,4.808633911,3.24685678,16.9669505,10.02192385,10.28566794,6.945026653
