,DEPTH,DTCO,Vp,Vs,RHOB,Ip,PHIT,well,Vp_bk,Vs_bk,rhob_bk,Ip_ups_Bks,Vp_MA,Vs_MA,RHOB_MA,Ip_ups_MA,PHIT_MA,Rc,Rc_bks,Rc_MA,TWT
21,3037.1,115.4516,2640.067353,1385.889211,2.2329,5895.006392,0.2341,Lakach-1,2754.476136,1271.600965,2.154098453,5933.412783,2751.410833,1281.623006,2.154098453,5933.610283,0.255285162,0.005769756,0.000325978,0.000381536,3129.082285
22,3037.2,114.2701,2667.364429,1377.132285,2.2357,5963.426653,0.2365,Lakach-1,2755.164831,1272.722274,2.154964487,5937.282365,2752.324531,1283.39407,2.154964487,5938.139787,0.254902954,0.006076608,0.000313208,0.000368495,3129.157266
23,3037.3,113.223,2692.032538,1367.086496,2.2423,6036.344559,0.2387,Lakach-1,2755.966706,1273.897778,2.155687412,5941.002736,2753.363466,1285.24081,2.155687412,5942.517755,0.254590014,0.004061147,0.000304251,0.000358182,3129.231559
24,3037.4,112.8981,2699.779713,1353.669163,2.2541,6085.573451,0.2401,Lakach-1,2756.825827,1275.116718,2.156327356,5944.618947,2754.463064,1287.160709,2.156327356,5946.77629,0.254334388,0.002802347,0.000298212,0.000350461,3129.305639
25,3037.5,112.8847,2700.100191,1338.042823,2.2665,6119.777082,0.2415,Lakach-1,2757.708797,1276.37178,2.156922996,5948.16552,2755.584364,1289.151254,2.156922996,5950.945977,0.254120605,-0.000365794,0.000287992,0.000335851,3129.37971
26,3037.6,113.2564,2691.238641,1319.131035,2.2723,6115.301564,0.2433,Lakach-1,2758.577233,1277.658387,2.157486287,5951.592551,2756.673997,1291.205657,2.157486287,5954.944582,0.253940928,-0.004389286,0.000276608,0.000319987,3129.454026
27,3037.7,114.2349,2668.186342,1298.120536,2.2719,6061.852551,0.2457,Lakach-1,2759.431864,1278.974793,2.158011603,5954.885981,2757.732641,1293.316847,2.158011603,5958.756811,0.253787623,-0.005946904,0.000267243,0.00030686,3129.528983
28,3037.8,115.3473,2642.45457,1276.505391,2.2669,5990.180264,0.2452,Lakach-1,2760.268943,1280.308916,2.158510549,5958.06963,2758.758424,1295.454277,2.158510549,5962.414946,0.253653657,-0.00651424,0.000264503,0.000302401,3129.60467
29,3037.9,116.4991,2616.329225,1253.9804,2.2599,5912.642415,0.2436,Lakach-1,2761.089048,1281.64868,2.159011252,5961.222322,2759.758698,1297.594858,2.159011252,5966.022114,0.253524965,-0.005797229,0.000265185,0.000302355,3129.681113
30,3038,117.404,2596.163674,1231.012302,2.2512,5844.483663,0.2416,Lakach-1,2761.892623,1282.985336,2.159528129,5964.38481,2760.73727,1299.719118,2.159528129,5969.630919,0.253398031,-0.006198566,0.000265165,0.00030151,3129.75815
31,3038.1,118.161,2579.531317,1209.010939,2.2378,5772.475182,0.2419,Lakach-1,2762.682541,1284.308228,2.160055907,5967.548742,2761.697201,1301.793452,2.160055907,5973.231807,0.253273207,-0.005578347,0.000259199,0.000292893,3129.835683
32,3038.2,118.6911,2568.010575,1189.269419,2.2229,5708.430708,0.2419,Lakach-1,2763.449322,1285.615685,2.160576301,5970.643115,2762.621835,1303.80657,2.160576301,5976.731874,0.253154008,-0.001998139,0.000246344,0.000275526,3129.913565
33,3038.3,118.7107,2567.586578,1175.388567,2.2144,5685.663719,0.24,Lakach-1,2764.181386,1286.906235,2.161068565,5973.585503,2763.492194,1305.748414,2.161068565,5980.02627,0.253043249,0.002485547,0.000233222,0.000257806,3129.991459
34,3038.4,118.4581,2573.061699,1165.992498,2.2207,5713.998114,0.2359,Lakach-1,2764.861467,1288.172034,2.161545007,5976.372498,2764.288946,1307.606803,2.161545007,5983.110439,0.25293706,0.007802786,0.000211361,0.000227858,3130.069187
35,3038.5,117.8632,2586.048911,1165.572922,2.2443,5803.869571,0.2289,Lakach-1,2765.372815,1289.403967,2.162059072,5978.899381,2764.873247,1309.38197,2.162059072,5985.837662,0.252829466,0.011963954,0.000181389,0.000188968,3130.146525
36,3038.6,116.6761,2612.360201,1170.51815,2.2755,5944.425636,0.2204,Lakach-1,2765.609351,1290.594122,2.162658579,5981.068789,2765.137234,1311.074103,2.162658579,5988.100357,0.252714487,0.010799478,0.000133336,0.000133262,3130.223084
37,3038.7,115.2066,2645.681758,1178.99486,2.2959,6074.220748,0.2127,Lakach-1,2765.440971,1291.738991,2.163367089,5982.663982,2764.969979,1312.68543,2.163367089,5989.69654,0.252588608,0.005241655,0.000102523,0.000100735,3130.298679
38,3038.8,113.6228,2682.56019,1192.469135,2.2882,6138.234228,0.2124,Lakach-1,2764.993323,1292.841458,2.164161041,5983.890828,2764.530886,1314.21765,2.164161041,5990.903407,0.252455696,-0.001291047,8.13E-05,7.98E-05,3130.373235
39,3038.9,112.3384,2713.230739,1209.189843,2.2565,6122.405162,0.2188,Lakach-1,2764.381646,1293.907624,2.164991913,5984.863907,2763.940135,1315.672245,2.164991913,5991.85917,0.252274965,-0.004321307,7.50E-05,7.38E-05,3130.446948
40,3039,111.2697,2739.290211,1228.398246,2.2158,6069.71925,0.23,Lakach-1,2763.769119,1294.940425,2.165796765,5985.762218,2763.348093,1317.041243,2.165796765,5992.74378,0.252098101,-0.001584704,6.34E-05,6.28E-05,3130.519959
41,3039.1,110.5751,2756.49762,1249.965655,2.195,6050.512276,0.237,Lakach-1,2763.187652,1295.941486,2.166527426,5986.521832,2762.783639,1318.321382,2.166527426,5993.496776,0.251926512,0.004811601,5.18E-05,5.18E-05,3130.592515
42,3039.2,110.2695,2764.136955,1270.333463,2.2101,6109.019085,0.2368,Lakach-1,2762.647848,1296.905371,2.167175457,5987.142614,2762.257028,1319.507769,2.167175457,5994.117841,0.25176301,0.009535714,4.47E-05,4.50E-05,3130.66487
43,3039.3,110.2472,2764.696065,1289.559392,2.2522,6226.648477,0.2289,Lakach-1,2762.161336,1297.823388,2.167751055,5987.678151,2761.779434,1320.594899,2.167751055,5994.657156,0.251605485,0.0099993,5.98E-05,5.93E-05,3130.737211
44,3039.4,110.5161,2757.969201,1303.343881,2.3033,6352.43046,0.2186,Lakach-1,2761.793974,1298.687066,2.168298875,5988.394767,2761.412322,1321.58349,2.168298875,5995.368461,0.251447257,0.005602338,8.99E-05,8.90E-05,3130.809728
45,3039.5,110.8979,2748.474047,1314.071777,2.3373,6424.00839,0.2102,Lakach-1,2761.552795,1299.487919,2.16887834,5989.472043,2761.166622,1322.474462,2.16887834,5996.435785,0.251281646,-0.000283174,0.000125014,0.000124982,3130.882496
46,3039.6,111.369,2736.847776,1321.925796,2.3459,6420.371198,0.2074,Lakach-1,2761.420512,1300.219715,2.169524613,5990.969769,2761.032006,1323.267739,2.169524613,5997.934868,0.251111111,-0.003350209,0.000140879,0.000141386,3130.955573
47,3039.7,111.7545,2727.40695,1324.993871,2.3383,6377.495671,0.2082,Lakach-1,2761.291537,1300.880178,2.170237342,5992.658006,2760.903747,1323.96469,2.170237342,5999.631158,0.250937412,-0.003509583,0.000143039,0.000143325,3131.028902
48,3039.8,111.916,2723.471175,1325.826695,2.3253,6332.887523,0.2103,Lakach-1,2761.127842,1301.467914,2.17098699,5994.372623,2760.741357,1324.565437,2.17098699,6001.351202,0.250761955,-0.001956025,0.000128436,0.000127863,3131.102338
49,3039.9,111.857,2724.907695,1324.229401,2.315,6308.161313,0.2123,Lakach-1,2760.904856,1301.985943,2.171720113,5995.912605,2760.517544,1325.075023,2.171720113,6002.8861,0.250589311,0.000981657,0.000104855,0.000103731,3131.175735
50,3040,111.464,2734.51518,1321.316635,2.3114,6320.558387,0.2141,Lakach-1,2760.620816,1302.437156,2.172399086,5997.170138,2760.230997,1325.500577,2.172399086,6004.131603,0.250430028,0.001385256,7.93E-05,7.83E-05,3131.248874
51,3040.1,110.9344,2747.569735,1320.587297,2.3068,6338.093864,0.2176,Lakach-1,2760.272275,1302.82926,2.173017932,5998.121153,2759.880888,1325.856211,2.173017932,6005.071711,0.250288326,0.001335491,5.78E-05,5.75E-05,3131.321666
